key,enabled,identity,password,username
user-account-anonymous-01,false,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-authenticated-01,true,"UserIdentity{name: 'Authenticated', surname: 'Acme', email: 'authenticated@acme.com'}",authenticated,authenticated
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator,administrator
user-account-patron-01,true,"UserIdentity{name: 'Patron', surname: 'Delfin', email: 'patron1@acme.com'}",patron1,patron1
user-account-patron-02,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron2@acme.com'}",patron2,patron2
user-account-patron-03,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron3@acme.com'}",patron3,patron3
user-account-patron-04,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron4@acme.com'}",patron4,patron4
user-account-patron-05,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron5@acme.com'}",patron5,patron5
user-account-patron-06,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron6@acme.com'}",patron6,patron6
user-account-patron-07,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron7@acme.com'}",patron7,patron7
user-account-patron-08,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron8@acme.com'}",patron8,patron8
user-account-patron-09,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron9@acme.com'}",patron9,patron9
user-account-patron-10,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron10@acme.com'}",patron10,patron10
user-account-patron-11,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron11@acme.com'}",patron11,patron11
user-account-patron-12,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron12@acme.com'}",patron12,patron12
user-account-patron-13,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron13@acme.com'}",patron13,patron13
user-account-patron-14,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron14@acme.com'}",patron14,patron14
user-account-patron-15,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron15@acme.com'}",patron15,patron15
user-account-patron-16,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron16@acme.com'}",patron16,patron16
user-account-patron-17,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron17@acme.com'}",patron17,patron17
user-account-patron-18,true,"UserIdentity{name: 'Patron', surname: 'Jose', email: 'patron18@acme.com'}",patron18,patron18
user-account-inventor-01,true,"UserIdentity{name: 'Inventor', surname: 'Delfin', email: 'inventor1@acme.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor2@acme.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor3@acme.com'}",inventor3,inventor3
user-account-inventor-04,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor4@acme.com'}",inventor4,inventor4
user-account-inventor-05,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor5@acme.com'}",inventor5,inventor5
user-account-inventor-06,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor6@acme.com'}",inventor6,inventor6
user-account-inventor-07,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor7@acme.com'}",inventor7,inventor7
user-account-inventor-08,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor8@acme.com'}",inventor8,inventor8
user-account-inventor-09,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor9@acme.com'}",inventor9,inventor9
user-account-inventor-10,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor10@acme.com'}",inventor10,inventor10
user-account-inventor-11,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor11@acme.com'}",inventor11,inventor11
user-account-inventor-12,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor12@acme.com'}",inventor12,inventor12
user-account-inventor-13,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor13@acme.com'}",inventor13,inventor13
user-account-inventor-14,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor14@acme.com'}",inventor14,inventor14
user-account-inventor-15,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor15@acme.com'}",inventor15,inventor15
user-account-inventor-16,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor16@acme.com'}",inventor16,inventor16
user-account-inventor-17,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor17@acme.com'}",inventor17,inventor17
user-account-inventor-18,true,"UserIdentity{name: 'Inventor', surname: 'Jose', email: 'inventor18@acme.com'}",inventor18,inventor18
user-account-palmero,true,"UserIdentity{name: 'God', surname: 'Palmero', email: 'god@heaven.com'}",palmero,palmero
user-account-noroles,true,"UserIdentity{name: 'Mr no roles', surname: 'Pérez', email: 'none@noroles.com'}",noroles,noroles
